transaction_id,card_id,timestamp,merchant_name,merchant_category,amount,channel,cardholder_country,merchant_country,device_id,fraud_score,final_fraud_decision,fraud_reasons_str,card_tx_count_10m,card_tx_count_1m,country_mismatch,is_high_risk_merchant,impossible_travel,micro_probe
tx_000018,card_000,2026-04-25 14:13:47,Hydro-Quebec,utilities,51.5,online,CA,CA,dev_bc0178b6,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000006,card_000,2026-04-29 09:17:47,Esso,gas,82.96,in_person,CA,CA,PHYSICAL_STORE,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000001,card_000,2026-05-05 18:39:29,Bell Canada,utilities,115.44,online,CA,CA,dev_bc0178b6,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000982,card_000,2026-05-06 16:57:00,Cineplex,entertainment,34.86,in_person,CA,CA,PHYSICAL_STORE,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000983,card_000,2026-05-06 17:13:00,Newegg,electronics,1032.48,online,CA,US,dev_c038c175,65,Block / Review,"Country mismatch (CA card / US merchant); High-risk merchant, large amount ($1032.48); Unusual pattern detected by ML model (Isolation Forest)",1.0,1.0,1,1,0,0
tx_000014,card_000,2026-05-07 22:34:49,Bell Canada,utilities,13.49,online,CA,CA,dev_bc0178b6,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000003,card_000,2026-05-09 23:12:57,La Banquise,restaurant,11.77,in_person,CA,CA,PHYSICAL_STORE,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000012,card_000,2026-05-10 18:09:35,Cafe Olimpico,restaurant,19.81,in_person,CA,CA,PHYSICAL_STORE,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000019,card_000,2026-05-11 01:11:16,Tim Hortons,restaurant,74.42,in_person,CA,CA,PHYSICAL_STORE,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000007,card_000,2026-05-15 04:09:33,Joe Beef,restaurant,34.54,in_person,CA,CA,PHYSICAL_STORE,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000005,card_000,2026-05-16 23:34:15,Chipotle,restaurant,32.26,in_person,CA,CA,PHYSICAL_STORE,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000009,card_000,2026-05-17 12:41:59,Bell Canada,utilities,36.74,online,CA,CA,dev_bc0178b6,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000017,card_000,2026-05-19 08:05:05,Starbucks,restaurant,17.07,in_person,CA,CA,PHYSICAL_STORE,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000002,card_000,2026-05-19 17:02:20,Shell,gas,39.34,in_person,CA,CA,PHYSICAL_STORE,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000013,card_000,2026-05-21 01:29:40,Hydro-Quebec,utilities,36.32,online,CA,CA,dev_bc0178b6,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000015,card_000,2026-05-21 02:24:52,Tim Hortons,restaurant,193.99,in_person,CA,CA,PHYSICAL_STORE,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000008,card_000,2026-05-22 07:05:41,Esso,gas,77.44,in_person,CA,CA,PHYSICAL_STORE,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000004,card_000,2026-05-23 07:05:41,Bell Canada,utilities,176.05,online,CA,CA,dev_bc0178b6,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000016,card_000,2026-05-23 12:29:14,Chevron,gas,87.62,in_person,CA,CA,PHYSICAL_STORE,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000011,card_000,2026-05-24 10:25:11,Shell,gas,16.87,in_person,CA,CA,PHYSICAL_STORE,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000010,card_000,2026-05-24 15:26:59,Videotron,utilities,11.85,online,CA,CA,dev_bc0178b6,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000027,card_001,2026-04-25 15:51:42,Etsy,online_retail,69.73,online,CA,US,dev_8080a2c9,15,Approve,Country mismatch (CA card / US merchant),1.0,1.0,1,0,0,0
tx_000023,card_001,2026-04-27 22:48:21,Desjardins ATM,atm,100.0,atm,CA,CA,PHYSICAL_STORE,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000028,card_001,2026-05-01 22:58:31,Shopify Merchant 1,online_retail,289.54,online,CA,CA,dev_8d790a73,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000031,card_001,2026-05-05 15:34:06,QuickPay Online,online_retail,24.83,online,CA,CA,dev_8d790a73,0,Approve,No flags,1.0,1.0,0,1,0,0
tx_000032,card_001,2026-05-10 18:09:55,Shopify Merchant 1,online_retail,51.34,online,CA,CA,dev_8d790a73,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000024,card_001,2026-05-11 16:33:53,AliExpress,online_retail,55.49,online,CA,CN,dev_8080a2c9,15,Approve,Country mismatch (CA card / CN merchant),1.0,1.0,1,0,0,0
tx_000034,card_001,2026-05-14 03:19:24,Videotron,utilities,30.94,online,CA,CA,dev_8d790a73,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000022,card_001,2026-05-16 10:09:36,eBay,online_retail,106.79,online,CA,US,dev_8080a2c9,15,Approve,Country mismatch (CA card / US merchant),1.0,1.0,1,0,0,0
tx_000029,card_001,2026-05-16 15:53:05,Disney+,subscription,19.99,online,CA,US,dev_8d790a73,15,Approve,Country mismatch (CA card / US merchant),1.0,1.0,1,0,0,0
tx_000030,card_001,2026-05-18 00:04:25,Amazon.com,online_retail,45.5,online,CA,US,dev_8d790a73,15,Approve,Country mismatch (CA card / US merchant),1.0,1.0,1,0,0,0
tx_000020,card_001,2026-05-22 13:34:35,Hydro-Quebec,utilities,132.86,online,CA,CA,dev_8080a2c9,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000033,card_001,2026-05-22 15:59:57,AliExpress,online_retail,22.87,online,CA,CN,dev_8d790a73,15,Approve,Country mismatch (CA card / CN merchant),1.0,1.0,1,0,0,0
tx_000025,card_001,2026-05-23 07:45:13,Videotron,utilities,57.73,online,CA,CA,dev_8080a2c9,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000026,card_001,2026-05-23 23:29:04,Bell Canada,utilities,84.21,online,CA,CA,dev_8d790a73,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000021,card_001,2026-05-24 21:52:23,Disney+,subscription,11.99,online,CA,US,dev_8d790a73,15,Approve,Country mismatch (CA card / US merchant),1.0,1.0,1,0,0,0
tx_000041,card_002,2026-04-25 05:09:52,McDonald's,restaurant,57.27,in_person,CA,CA,PHYSICAL_STORE,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000038,card_002,2026-04-30 18:55:21,Whole Foods,grocery,24.11,in_person,CA,CA,PHYSICAL_STORE,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000052,card_002,2026-04-30 20:53:42,Tim Hortons,restaurant,15.66,in_person,CA,CA,PHYSICAL_STORE,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000047,card_002,2026-05-01 02:43:54,Netflix,subscription,19.99,online,CA,US,dev_6200257c,15,Approve,Country mismatch (CA card / US merchant),1.0,1.0,1,0,0,0
tx_000054,card_002,2026-05-02 03:25:31,Provigo,grocery,25.92,in_person,CA,CA,PHYSICAL_STORE,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000045,card_002,2026-05-04 04:30:02,Chipotle,restaurant,41.05,in_person,CA,CA,PHYSICAL_STORE,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000995,card_002,2026-05-05 02:25:59,QuickPay Online,online_retail,735.44,online,CA,CA,dev_a89efa00,55,Block / Review,"High-risk merchant, large amount ($735.44); Micro-probe pattern: prior 3 txs max $41.05, then $735.44 at QuickPay Online; Unusual pattern detected by ML model (Isolation Forest)",1.0,1.0,0,1,0,1
tx_000050,card_002,2026-05-05 11:29:11,Starbucks,restaurant,18.92,in_person,CA,CA,PHYSICAL_STORE,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000048,card_002,2026-05-06 02:00:14,Amazon.com,online_retail,38.76,online,MX,US,dev_6200257c,15,Approve,Country mismatch (MX card / US merchant),1.0,1.0,1,0,0,0
tx_000051,card_002,2026-05-07 22:01:44,La Banquise,restaurant,33.64,in_person,MX,MX,PHYSICAL_STORE,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000039,card_002,2026-05-11 04:40:15,Spotify,subscription,11.99,online,MX,SE,dev_c2b98918,15,Approve,Country mismatch (MX card / SE merchant),1.0,1.0,1,0,0,0
tx_000053,card_002,2026-05-12 23:11:02,Starbucks,restaurant,35.69,in_person,CA,CA,PHYSICAL_STORE,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000036,card_002,2026-05-13 05:08:18,Cafe Olimpico,restaurant,9.34,in_person,CA,CA,PHYSICAL_STORE,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000049,card_002,2026-05-14 22:38:57,QuickPay Online,online_retail,16.66,online,CA,CA,dev_6200257c,0,Approve,No flags,1.0,1.0,0,1,0,0
tx_000040,card_002,2026-05-16 10:49:43,Amazon.ca,online_retail,5.1,online,CA,CA,dev_c2b98918,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000035,card_002,2026-05-16 23:44:21,La Banquise,restaurant,26.65,in_person,CA,CA,PHYSICAL_STORE,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000037,card_002,2026-05-17 06:33:06,Cineplex,entertainment,15.78,in_person,CA,CA,PHYSICAL_STORE,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000043,card_002,2026-05-17 09:13:59,Etsy,online_retail,7.37,online,CA,US,dev_c2b98918,15,Approve,Country mismatch (CA card / US merchant),1.0,1.0,1,0,0,0
tx_000044,card_002,2026-05-20 13:06:24,Etsy,online_retail,10.9,online,CA,US,dev_6200257c,15,Approve,Country mismatch (CA card / US merchant),1.0,1.0,1,0,0,0
tx_000046,card_002,2026-05-23 06:53:57,Whole Foods,grocery,19.94,in_person,CA,CA,PHYSICAL_STORE,0,Approve,No flags,1.0,1.0,0,0,0,0
tx_000042,card_002,2026-05-24 02:24:37,BMO ATM,atm,200.0,atm,CA,CA,PHYSICAL_STORE,0,Approve,No flags,1.0,1.0,0,0,0,0
